,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_0.986-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.60993165,0.592077304,1.0893658,0.895370614,1.065181038,0.954708283,1.023623112,1.105092014,1.469119071,1.091617334,0.022924267,0.020214538,0.019278392,0.020980369,0.01826056,0.018441767,0.01404633,0.011434577,0.848356516
,0.549808505,0.764199109,1.125263917,0.986913276,1.117519679,1.119092959,1.014335513,0.917730652,1.5264852,1.290621392,0.019015332,0.025710901,0.017704883,0.019823202,0.013918579,0.02478754,0.01497703,0.016778625,0.848356516
,1.112675787,0.585373793,1.575530341,1.307937126,1.63040168,1.485302412,1.372753953,1.043683599,1.539526797,1.361505988,0.028125594,0.024524643,0.022847349,0.02455323,0.022777556,0.020694641,0.017480158,0.01680249,0.848356516
,0.629598288,0.351500892,0.734091069,0.589227366,0.985848794,0.640679236,0.927956371,0.938332313,1.127070664,1.208237444,0.024169882,0.01251021,0.02389898,0.023399269,0.019859612,0.024617129,0.012365002,0.014714166,0.848356516
,1.179004139,0.963456949,1.307875689,1.265462682,1.377568408,1.070042312,1.102971982,1.019489009,1.497724603,1.425544086,0.02567681,0.013810217,0.020327509,0.019813161,0.020017564,0.032312057,0.016726516,0.026346491,0.848356516
