,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_0.803-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.305664154,0.429250819,0.699515538,0.683076512,0.912649731,0.636410649,0.759557879,0.6534835,1.006935954,1.009006328,0.020215264,0.023013204,0.017955976,0.0203742,0.010325829,0.010760558,0.007334189,0.00716694,0.853586245
,0.683203899,0.621308181,0.887812512,1.140615824,0.880022917,0.761162894,0.948796533,1.269460531,1.215521005,1.598498243,0.022140507,0.015529075,0.021303028,0.019720003,0.012423805,0.018705407,0.008653717,0.010404439,0.853586245
,0.723079676,0.518780728,1.212859056,0.586289864,1.039002142,0.563194733,0.81919217,0.715513644,1.273111826,0.787942303,0.021410358,0.014293685,0.017349722,0.015660367,0.009791657,0.013756243,0.008550934,0.006541281,0.853586245
,0.421403264,0.68930623,0.720598653,1.132494157,0.757266091,1.151055568,1.082764936,1.107699655,1.077493629,1.294261659,0.014050978,0.024429661,0.013331059,0.026645973,0.009919485,0.017571886,0.007672688,0.008659349,0.853586245
,0.91378416,0.818190438,1.498129651,1.51815588,1.440863499,1.481266316,1.225451317,1.12405332,1.511545317,1.387464627,0.016553327,0.014392102,0.016483176,0.013418857,0.01058525,0.014649911,0.010286478,0.012353872,0.853586245
,0.740275687,0.727848764,0.909516757,0.888704444,0.917064568,0.908118497,1.065763991,0.918732149,1.208648982,1.255288914,0.012881335,0.007300841,0.014365926,0.014612179,0.013716795,0.017206377,0.010169386,0.011234375,0.853586245
,0.413339325,0.350695197,0.68119967,0.705107809,0.674906486,0.683747868,0.859815594,0.872784069,1.076467332,0.899219185,0.022561498,0.013252513,0.021588575,0.016259695,0.013172816,0.013440079,0.009557122,0.007270948,0.853586245
,0.595902857,0.562160528,0.864170072,0.811437913,0.921120157,0.719683772,0.873509162,0.804719222,1.190346045,1.090963755,0.015669883,0.019448391,0.017508776,0.019847416,0.009852986,0.012524362,0.008239182,0.00748251,0.853586245
,0.995711085,0.726590449,1.30174911,0.856956189,0.897119664,0.737522209,1.325277503,0.736469212,1.567699302,1.009256971,0.013523715,0.023335034,0.01157276,0.020568689,0.009103318,0.009840581,0.008202317,0.007286077,0.853586245
,0.598600371,0.334541289,1.140216243,0.483574188,1.228384643,0.565280317,0.998607828,0.71045408,1.401608544,0.745964227,0.017683635,0.012405552,0.019393136,0.016346239,0.019489294,0.012759101,0.012795099,0.006512931,0.853586245
,0.690656076,0.606489513,1.264241367,0.944604204,1.71111521,0.865865933,0.893668908,0.858230976,1.413612159,1.153619576,0.015276049,0.00869048,0.015126344,0.014639216,0.019357773,0.012565653,0.014940509,0.007737658,0.853586245
,0.971418602,0.738518959,1.388652265,1.281600156,1.147765505,1.196792821,1.243935828,1.207178673,1.813396106,1.240780683,0.011875807,0.026873085,0.013630622,0.02602541,0.014676527,0.012944363,0.011409431,0.008409177,0.853586245
,0.958917026,0.743617989,1.426678847,1.361346775,1.330823119,1.227627735,1.061696309,1.140252731,1.366049562,1.38418043,0.017304678,0.015442953,0.017509957,0.016723829,0.018408023,0.018546803,0.012963709,0.016043354,0.853586245
,0.510714631,0.398965449,0.541050991,0.676640099,0.605701579,0.643773424,0.734377444,0.63838583,0.984212876,0.793749747,0.021673916,0.025079916,0.020225276,0.023451303,0.01281103,0.012234889,0.00900079,0.006535386,0.853586245
,0.985158984,0.66981207,0.976528038,0.728272765,1.009850836,0.616122175,0.806699131,0.903785245,1.2487875,1.085052873,0.015019486,0.010249209,0.013586745,0.0151963,0.012240582,0.016259623,0.010969756,0.009124218,0.853586245
,0.593989611,1.071930775,1.198696542,2.250202408,1.212201519,1.924539123,0.964626508,1.810182768,1.385640682,1.757343557,0.014497285,0.012847077,0.011948046,0.023858699,0.011116466,0.023729735,0.008994655,0.010077616,0.853586245
,0.853899777,0.50312045,0.976784613,0.737373753,0.873555397,0.912193161,0.899039073,0.95154867,1.128223121,1.163806588,0.011916862,0.010193862,0.010967537,0.014334324,0.015439518,0.015695989,0.011983557,0.011678116,0.853586245
