,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_0.803-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.443725409,0.623133242,0.931907565,0.813605674,0.896263386,0.80692087,0.752157395,0.809545618,0.990262188,1.120173155,0.035013898,0.031633075,0.032580892,0.027585599,0.011428133,0.014169677,0.008316353,0.008689747,1.239130923
,1.04967763,0.753101689,1.352401948,0.787249587,1.495082087,0.824430146,0.907348951,0.726422613,1.335778216,0.938621756,0.023650402,0.027055953,0.018830266,0.025020866,0.012820924,0.01588818,0.010376798,0.007044997,1.239130923
,0.600034903,0.509095907,0.793284875,0.857022251,0.848296769,0.889557842,1.003072055,0.849990331,1.234112874,1.122384538,0.028520039,0.019106335,0.027606034,0.023647819,0.013655273,0.017333113,0.010026326,0.009780759,1.239130923
,0.868973973,0.485645662,1.265737444,0.981657106,1.563077586,0.982011227,1.079939616,0.76582154,1.54195139,0.992981778,0.021708704,0.015139944,0.023503408,0.015434636,0.020775475,0.017255219,0.014400198,0.009394497,1.239130923
,1.002609057,0.880426453,1.637008656,1.370697305,1.730050662,1.233708561,1.346351156,1.027022473,1.620245786,1.40104988,0.024778513,0.011751358,0.022827393,0.018996225,0.029369635,0.021277553,0.020211679,0.013047322,1.239130923
,1.392037121,1.079492611,1.588732326,2.176700718,1.207176444,1.44072509,1.255712461,1.307008072,1.552247802,1.64004892,0.02440419,0.027015667,0.027637541,0.023477178,0.015298188,0.02155395,0.011465614,0.017969871,1.239130923
,1.43013195,0.972350308,1.519143046,0.855848046,1.66143261,0.76151641,1.307308416,0.886512072,1.472569903,1.235038212,0.01330044,0.017761605,0.015045785,0.02644225,0.027184901,0.02243944,0.022038227,0.010564307,1.239130923
,1.239586071,0.730368034,1.127761564,1.397033457,1.10095566,1.073387511,1.045518333,1.145576501,1.311380593,1.311121477,0.020150027,0.014544596,0.015251211,0.023641372,0.014876748,0.020949977,0.011050693,0.012628094,1.239130923
