,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_1.215-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.089859965,0.112186853,0.168228213,0.212254958,0.21813723,0.221291139,0.257997649,0.229764846,0.337103395,0.358428924,0.006910101,0.006402706,0.008929983,0.008647627,0.008289075,0.009015664,0.005813947,0.006369269,0.178970849
,0.316452721,0.229915531,0.532295188,0.491590138,0.451578851,0.554688231,0.447330404,0.310562358,0.704987217,0.710049927,0.008110175,0.007630419,0.009994392,0.00776356,0.009744054,0.013153097,0.009285695,0.011571765,0.178970849
,0.323597887,0.204346546,0.447534017,0.281946335,0.617057192,0.222169293,0.378989219,0.319050986,0.828605518,0.37523709,0.008548858,0.007030932,0.009437184,0.009509316,0.010038994,0.008676789,0.011106785,0.005786237,0.178970849
,0.111418374,0.116534869,0.182706345,0.223419964,0.240206814,0.274101245,0.343959634,0.298941832,0.365412211,0.427295789,0.008106807,0.006993216,0.01043025,0.009521733,0.009879717,0.008920594,0.006511176,0.006855112,0.178970849
,0.232017068,0.184986946,0.413188255,0.358470024,0.479107598,0.343622043,0.275835135,0.297263332,0.61076011,0.470757018,0.008022362,0.009186979,0.009919516,0.011180067,0.008867962,0.011069165,0.008756286,0.008100051,0.178970849
,0.273703579,0.224722382,0.742399638,0.410291851,0.443622657,0.368991708,0.897513871,0.48686797,0.738473849,0.527322438,0.009121833,0.00842015,0.009713973,0.01157002,0.011171144,0.0108147,0.009398811,0.008176538,0.178970849
,0.445753812,0.360920239,1.229717857,0.789153507,1.215780882,0.871763419,0.604242245,0.466092793,1.319034844,0.944101669,0.012370787,0.010188391,0.007903002,0.010841193,0.016582716,0.013102527,0.021425886,0.014125941,0.178970849
,0.11161953,0.101030332,0.190828569,0.193489066,0.226940617,0.281033051,0.301459052,0.328153805,0.432926738,0.400420507,0.008155721,0.008953811,0.010607067,0.011695118,0.009717471,0.010506595,0.007216744,0.007109807,0.178970849
,0.208829209,0.097044503,0.314716802,0.180958271,0.3981926,0.227353136,0.310097421,0.238862099,0.587008222,0.390982404,0.00656632,0.005845527,0.007757311,0.00810786,0.010331255,0.009323719,0.009329299,0.006874906,0.178970849
,0.36466727,0.235744555,0.480575799,0.300949582,0.502073874,0.358718785,0.46370815,0.377247448,0.540109395,0.445781878,0.007375892,0.007754748,0.009298212,0.009566568,0.00978326,0.009646219,0.008692993,0.006860196,0.178970849
,0.084776704,0.089236903,0.143060927,0.195047675,0.194966366,0.255887285,0.249911914,0.295374947,0.349614782,0.426986378,0.006389373,0.006829879,0.008505421,0.009496582,0.00846685,0.009405454,0.006147208,0.007010683,0.178970849
,0.266407529,0.208994839,0.755142152,0.453390022,0.727937279,0.581543533,0.438029028,0.323746111,0.939980268,0.641397952,0.009052742,0.00902436,0.008565334,0.009328612,0.014354528,0.011177599,0.014377527,0.010040142,0.178970849
,0.147266845,0.251383158,0.272601465,0.406534982,0.340234135,0.490825997,0.291661833,0.271856369,0.508408783,0.649920991,0.008525912,0.007443262,0.010448183,0.010394919,0.010833491,0.010892887,0.008286722,0.008472374,0.178970849
,0.640445627,0.170727316,0.960831226,0.234814074,0.955278308,0.252821322,0.78317401,0.336031032,1.045112238,0.367925861,0.010580952,0.007782872,0.00833437,0.010077047,0.015353161,0.009559844,0.014110621,0.006078659,0.178970849
,0.537604193,0.272075158,0.877580359,0.549012692,0.877731963,0.525745062,0.903636057,0.600692914,0.920155261,0.636589824,0.007733164,0.007090904,0.008882958,0.009496302,0.009573203,0.009026605,0.009312734,0.00774826,0.178970849
,0.135862565,0.146356117,0.162031978,0.279141529,0.208447399,0.315685726,0.290863375,0.314979518,0.373895847,0.439969292,0.00594984,0.006447626,0.008182495,0.008965153,0.008516097,0.010463272,0.006045293,0.007458705,0.178970849
,0.259601376,0.197877446,0.472443326,0.440277207,0.572160234,0.44677053,0.389874795,0.365289457,0.621901416,0.55986635,0.007894189,0.006783345,0.008958897,0.008577054,0.009791748,0.009927788,0.009106495,0.008449879,0.178970849
,0.149564061,0.291346179,0.332019807,0.688160744,0.344142136,0.880592104,0.359896094,0.433109855,0.517797054,0.838959295,0.008697719,0.011576006,0.009768005,0.009828445,0.009566069,0.013178462,0.007724116,0.01283535,0.178970849
,0.193553436,0.155111476,0.250381009,0.21637764,0.327700865,0.254385969,0.378849373,0.240640458,0.512133985,0.375269133,0.006964353,0.006307436,0.009968979,0.008488285,0.011467176,0.008154595,0.008448998,0.006364415,0.178970849
,0.436030716,0.320856006,0.692501625,0.365630611,0.72150915,0.335769172,0.387301195,0.332837389,0.840991735,0.620386026,0.010428106,0.006952795,0.010228892,0.008724606,0.010864831,0.010083424,0.01197413,0.008957046,0.178970849
,0.146668044,0.34791254,0.292214497,0.872079345,0.251208513,0.681517943,0.390646754,0.806195708,0.540071954,0.866462526,0.007388639,0.008793824,0.009676376,0.01025304,0.009618087,0.009958043,0.007688581,0.010449437,0.178970849
,0.330587011,0.278918981,0.461139743,0.458537251,0.455900684,0.588414613,0.418491292,0.474767669,0.601015334,0.745069975,0.007196523,0.009281244,0.009063745,0.00966203,0.008608476,0.012897206,0.008594035,0.011931905,0.178970849
