,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_1.215-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.432189935,0.5395732,0.649572256,0.988647182,0.639910185,0.988937684,0.754241221,0.597804573,0.915490534,1.134812676,0.035625325,0.028282891,0.032387236,0.037870477,0.01964801,0.024561432,0.014654244,0.016927353,0.860777101
,0.535877127,0.56048539,0.901331961,0.878121503,0.761686689,1.014886891,0.956003697,0.651001006,0.996900425,0.779211659,0.033086297,0.038165496,0.031663609,0.036287032,0.021969181,0.01843108,0.017857296,0.012920771,0.860777101
,0.536844607,0.485914865,0.836205985,0.758594006,0.759192287,0.757226188,0.85193021,0.654651892,1.040160162,1.106077009,0.03344452,0.019351013,0.035924101,0.028596573,0.022510943,0.035231006,0.018359121,0.028552481,0.860777101
,0.71934239,1.401256797,1.138850483,1.96878207,0.995534557,2.336211378,1.019813001,1.251774355,1.439254193,1.324275738,0.027191149,0.037020643,0.032331015,0.027073027,0.031763789,0.040145862,0.024369701,0.036647997,0.860777101
