,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_0.986-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.139802539,0.209392688,0.366869023,0.331269663,0.429171912,0.391261226,0.525234265,0.411598919,0.614400806,0.670642307,0.01032155,0.009688752,0.010707438,0.011554948,0.010058003,0.009875865,0.00698592,0.00707193,0.380992626
,0.368623401,0.270176854,0.666458882,0.558047469,0.570481785,0.486023399,0.551459037,0.538931517,0.876209051,0.82494776,0.009940783,0.008752892,0.010959516,0.012482124,0.009129241,0.012771675,0.009056879,0.008933872,0.380992626
,0.343924312,0.257278417,0.555151497,0.468437768,0.743608719,0.499289077,0.597391174,0.486055339,0.74307499,0.770934086,0.012825947,0.008755524,0.011439724,0.010964841,0.010068213,0.012187676,0.00757965,0.009007409,0.380992626
,0.36047033,0.416309233,0.545015424,0.667389361,0.559426466,0.707326167,0.599254366,0.649633535,0.703698374,0.850740382,0.011263474,0.013668523,0.010700189,0.012985084,0.009317045,0.01048203,0.007594216,0.008598532,0.380992626
,0.273917223,0.265898926,0.494362454,0.521404915,0.503059464,0.48562256,0.59532672,0.682973514,0.716059962,0.66289035,0.010205647,0.008412207,0.010803109,0.010827202,0.010999003,0.01022493,0.007650971,0.006467001,0.380992626
,0.714072781,0.817505935,0.890042856,0.898274469,0.835156634,0.88034104,0.839217011,0.811086764,1.114834402,0.984919336,0.016620949,0.012776393,0.011645553,0.014756369,0.01026506,0.013660691,0.010557308,0.010780465,0.380992626
,0.559717399,0.683840277,0.644209406,0.65289244,0.607975794,0.767565757,0.736151246,0.552683141,0.823449671,0.92615076,0.00993651,0.007904257,0.011611823,0.010749687,0.010169061,0.015473555,0.008462606,0.010667983,0.380992626
,0.274985102,0.390795902,0.365000291,0.654636678,0.370810376,0.674362325,0.493261558,0.48555698,0.718438451,0.855005451,0.007103171,0.014899092,0.009292406,0.015279418,0.010069066,0.011687592,0.007924754,0.009332361,0.380992626
,0.262745175,0.220164891,0.476484206,0.473544076,0.579576897,0.556725467,0.476725588,0.439821749,0.782496032,0.665067443,0.007802615,0.009968313,0.010699936,0.012029871,0.013586548,0.011791225,0.010595298,0.008283787,0.380992626
,1.035713072,0.499656996,0.975060835,0.777935682,0.69452362,0.828817405,1.147776044,0.693955963,1.069891015,0.917803391,0.011000369,0.009746956,0.010681546,0.009920163,0.012991639,0.012872492,0.009852705,0.010473796,0.380992626
,0.163944696,0.190594423,0.309771749,0.324180914,0.389806142,0.398788275,0.450947438,0.494189608,0.757510407,0.563020314,0.011169438,0.012441669,0.011703398,0.014287982,0.011416335,0.010572161,0.008573494,0.006615424,0.380992626
,0.246916222,0.34319796,0.496715574,0.404500362,0.524012054,0.453122758,0.594978675,0.437376751,0.721560582,0.693246428,0.012405566,0.009959121,0.012327875,0.010960047,0.010973224,0.010541582,0.007563288,0.008048922,0.380992626
,0.564671457,0.795531626,0.769133762,1.04199627,1.116593965,1.01917206,0.583243255,0.742745393,1.084551923,1.129706365,0.014517406,0.008778645,0.015155993,0.013008947,0.016135191,0.01368498,0.013761199,0.011398753,0.380992626
,0.934010827,0.380849559,1.295492104,0.677035986,1.175494639,0.588158423,1.340881433,0.809494422,1.527068847,0.739843928,0.008800263,0.011304004,0.012140958,0.013187057,0.012416652,0.01109114,0.014145897,0.007742564,0.380992626
,0.612255864,0.323314159,1.197887007,0.922090177,1.361549255,0.944144134,1.083414029,0.876465744,1.261808292,1.014855574,0.008776232,0.00772578,0.01211857,0.013557871,0.012200389,0.01634587,0.009815737,0.011258592,0.380992626
,0.500514377,0.397988625,0.41209088,0.624633295,0.511398962,0.672062801,0.642172703,0.493971768,0.848940708,0.770583085,0.008671121,0.014589437,0.009711555,0.014339191,0.009665806,0.011145734,0.008387005,0.008568213,0.380992626
,0.499697075,0.262888414,0.764457891,0.65844283,0.798684997,0.772500857,0.60697414,0.717869645,0.994800772,0.846260148,0.008930605,0.008819694,0.01054513,0.012307999,0.013211974,0.012145859,0.010493288,0.00940265,0.380992626
,0.277060713,0.558592786,0.438429716,0.833161107,0.480891862,0.768661595,0.51991943,0.565170545,0.64772416,1.001545861,0.009680071,0.011384751,0.011139978,0.011869503,0.009924909,0.012008966,0.007097637,0.009933468,0.380992626
,0.282749411,0.157857275,0.357297216,0.253491734,0.548946792,0.340967651,0.428559323,0.426023629,0.659073478,0.606799513,0.009973874,0.011788844,0.010866251,0.012816106,0.010561316,0.010411189,0.007525859,0.007327484,0.380992626
,0.541091659,0.456103492,0.783660991,0.454249794,0.800559751,0.548838603,0.626441414,0.502573993,1.101377962,0.70320208,0.01180673,0.009422255,0.010601683,0.010869894,0.016445159,0.011749843,0.012864829,0.008359826,0.380992626
,0.371566953,0.315853949,0.731914482,0.923843577,0.684656423,0.898762976,0.703173511,0.834398446,0.804480674,1.146304821,0.011878375,0.009268242,0.011472621,0.011565066,0.010338297,0.014036067,0.007699372,0.010062547,0.380992626
,0.529484803,0.432683649,0.634956124,0.818065771,0.734250619,0.735387824,0.618163534,0.60311442,1.017753525,0.954428874,0.009181635,0.00990751,0.010371991,0.011809553,0.01265701,0.013178809,0.011899413,0.011446816,0.380992626
