,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_1.215-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.383467813,0.478745427,0.578842101,0.905553949,0.56707809,0.89024232,0.780836747,0.642333693,0.86934028,1.092591316,0.038405182,0.024078678,0.0304866,0.033560088,0.022072281,0.029656615,0.014308544,0.017717948,0.763739008
,0.476324437,0.431136163,0.696335032,0.874571983,0.761551918,0.987148591,0.748579504,0.905757859,1.082213851,1.20977293,0.025780405,0.018391877,0.029357496,0.027102399,0.032431173,0.034310778,0.023937427,0.023570407,0.763739008
,0.62844555,1.072750812,1.022699335,1.705695839,1.126249847,1.786540995,0.95896788,1.053017543,1.412501372,2.002268754,0.02737123,0.025473068,0.030042549,0.027793201,0.029838399,0.037436511,0.022614952,0.03134493,0.763739008
