,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_0.986-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.257047281,0.38499888,0.426776091,0.355208124,0.541065318,0.45674388,0.754965841,0.678651415,0.909996273,0.794890462,0.016459852,0.014401254,0.015769122,0.019026021,0.014472196,0.014258238,0.010266801,0.009231443,0.7005103
,0.677767682,0.496759402,0.548119363,0.61096271,0.650366631,0.573386546,0.780467219,0.655921096,1.0094625,1.055626328,0.022029972,0.018701223,0.019246916,0.023434935,0.016322246,0.018195046,0.011382041,0.011345656,0.7005103
,0.632354819,0.473043752,1.138793449,1.20224998,0.966860921,1.059086903,0.900792003,0.807674526,1.308753924,1.361776723,0.012867687,0.010299268,0.016120918,0.015247663,0.018872999,0.022294261,0.015585316,0.017861915,0.7005103
,0.662777077,0.765445013,0.877315024,0.945683075,0.920250538,0.823742852,0.762682969,0.859271849,1.166517771,1.173466504,0.016843801,0.013552737,0.018653657,0.02037271,0.019560492,0.022322427,0.013709575,0.013359982,0.7005103
,0.503636614,0.48889381,0.882031571,0.911349838,1.149307536,1.006761685,0.862763901,0.802496001,0.9982307,1.125366252,0.02108225,0.016133301,0.018218833,0.017197727,0.014623867,0.015274899,0.01030055,0.012188688,0.7005103
,1.31292656,1.503103443,0.721751844,0.716173453,0.666808063,0.79848876,0.70285578,0.711102703,1.056050938,1.072965316,0.01724048,0.014042088,0.016454845,0.021385032,0.017153372,0.017476861,0.012491018,0.012162032,0.7005103
,0.483095181,0.404805141,0.839061877,0.834771275,0.77648561,0.786274239,0.816953729,0.76755275,1.05341164,1.083010919,0.01858511,0.012675479,0.015231506,0.014138677,0.013921589,0.014145771,0.010208196,0.009803531,0.7005103
,1.904308969,0.918691985,1.025451483,0.740211549,0.7072057,0.702073334,1.163229942,0.938732689,1.036787955,0.897157518,0.016101849,0.015056707,0.015554212,0.016461405,0.014643537,0.012663159,0.010376852,0.008727,0.7005103
,1.038230519,1.462700482,1.06219325,1.501813204,1.094205827,1.384227327,1.178453363,0.988649116,1.283260936,1.376402525,0.01541834,0.013282024,0.016567053,0.019755541,0.019309787,0.0289861,0.016451106,0.019794822,0.7005103
,1.717314614,0.700247251,1.258636359,1.221991169,1.362362874,1.353930899,1.021420155,1.008564831,1.50464238,1.375476663,0.012009549,0.01666653,0.01689366,0.020133527,0.032715179,0.034767386,0.023913866,0.026253273,0.7005103
,0.918765678,0.483358545,0.751159821,0.761606872,0.954357415,0.81528584,0.674284333,0.762843899,1.018609497,1.04842604,0.015209148,0.013832491,0.018366579,0.018057225,0.02209528,0.025490055,0.015608376,0.013947672,0.7005103
,0.509416377,1.027053999,0.547337477,0.470084532,0.622796337,0.626897058,0.781221531,0.67184835,0.867167709,0.717624317,0.019414175,0.021650357,0.017614562,0.022010845,0.012901987,0.015486316,0.009573061,0.00851922,0.7005103
,0.519875874,0.290243537,2.271366696,2.113750013,1.278816644,1.442524507,2.123107344,1.936708048,1.689599594,1.360411434,0.026617901,0.022148619,0.023416412,0.026690628,0.025241906,0.028853163,0.021089266,0.018104775,0.7005103
,0.994875634,0.83861254,1.116061458,1.046154038,0.991993498,0.921107734,1.138036626,0.967341388,1.298554493,1.074115029,0.019310728,0.023982117,0.014809218,0.018464327,0.015779136,0.017603498,0.014138886,0.012325672,0.7005103
,0.683179831,0.580743377,0.513421947,0.518984376,0.625500418,0.552513805,0.679192891,0.679465861,1.028755193,0.969542844,0.01779625,0.013992725,0.017428782,0.020941956,0.016717513,0.017951054,0.012700657,0.010934157,0.7005103
,0.973534743,0.795551757,0.708572633,0.741943698,0.73916648,0.739367743,0.759584276,0.756274637,1.079609249,1.084419397,0.029414406,0.023711109,0.025914531,0.033249605,0.016270341,0.021623286,0.011459907,0.011597953,0.7005103
