,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_0.986-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.080972934,0.121279202,0.147550027,0.132857392,0.209996025,0.204816976,0.307246235,0.294140435,0.401606767,0.383207742,0.005554247,0.005320489,0.007159092,0.007468597,0.006831458,0.007180152,0.004698437,0.004699068,0.220669032
,0.213504838,0.156485088,0.17271607,0.191371965,0.282080805,0.248291845,0.302190717,0.305773899,0.389775402,0.401698576,0.005233885,0.00495429,0.006803187,0.007106234,0.006534883,0.007031363,0.004494248,0.00461302,0.220669032
,0.199199249,0.149014378,0.358986088,0.378483354,0.331505129,0.332984101,0.310359527,0.336828345,0.478484472,0.494260432,0.004965092,0.004909982,0.00626314,0.006490585,0.005703253,0.006005248,0.005107797,0.005105978,0.220669032
,0.20878262,0.241124235,0.275888083,0.297441947,0.289411463,0.25900975,0.352223942,0.338266871,0.462579314,0.474365345,0.00519261,0.004830352,0.006877266,0.00701601,0.006354756,0.006865273,0.0046947,0.004948993,0.220669032
,0.158651492,0.154007334,0.323909712,0.319363573,0.443728753,0.426776592,0.365874816,0.352533683,0.546323855,0.477181862,0.005855336,0.005684672,0.006861595,0.007134247,0.00767822,0.007438125,0.006039096,0.005525027,0.220669032
,0.413587398,0.473495367,0.230677283,0.233015412,0.279170373,0.295753856,0.290964001,0.290852065,0.523865514,0.511517579,0.004758595,0.004733655,0.006400036,0.006512083,0.006926162,0.007146349,0.005540915,0.005577451,0.220669032
,0.32418553,0.396076883,0.367922846,0.3722028,0.469438902,0.520718193,0.432561805,0.484727443,0.670279074,0.580273068,0.006446703,0.006989835,0.007930172,0.008942197,0.0080503,0.008577095,0.006765191,0.00658929,0.220669032
,0.159270002,0.22634704,0.339623634,0.340743862,0.434857632,0.453188,0.456777204,0.515943999,0.667930243,0.554809712,0.007405074,0.006701611,0.009509568,0.008956463,0.009413155,0.008386822,0.006987594,0.005969696,0.220669032
,0.152180697,0.127518408,0.263242274,0.261911729,0.388281254,0.298170669,0.366016761,0.294824867,0.579999366,0.516795359,0.006537528,0.004505259,0.007854174,0.006179477,0.007588641,0.006392929,0.006297026,0.005600063,0.220669032
,0.599879853,0.289398844,0.260532141,0.22849795,0.285467919,0.304067779,0.418958209,0.40812476,0.465773223,0.444088527,0.006035443,0.006579857,0.007791835,0.008660109,0.007120193,0.008221101,0.004670442,0.005285442,0.220669032
,0.094955952,0.11039134,0.778540163,0.813143899,0.870555001,0.790760084,0.595065601,0.53737145,0.980924854,0.959976732,0.009425948,0.010070577,0.008652973,0.009053813,0.010015158,0.01068896,0.009620944,0.009944468,0.220669032
,0.143012646,0.198778549,0.903881267,0.783302892,1.051636788,0.978573034,0.626941649,0.563702221,1.115547013,1.044639705,0.007918421,0.007785333,0.006967172,0.008380263,0.009172793,0.010061805,0.010481986,0.009983794,0.220669032
,0.327054896,0.460767956,0.357622327,0.321882275,0.356948032,0.362443182,0.409131188,0.36828215,0.54172906,0.513665463,0.005027412,0.00462796,0.006774155,0.006451215,0.006638881,0.006369911,0.005824089,0.005419586,0.220669032
,0.54097442,0.220586168,0.39964673,0.405355634,0.427518077,0.457287566,0.377785541,0.339191834,0.613596873,0.603113813,0.006790172,0.006286997,0.008236408,0.008103453,0.007438821,0.008070652,0.006017864,0.006314594,0.220669032
,0.354615547,0.187261951,0.224801944,0.249494652,0.228646832,0.237354319,0.30508696,0.293114161,0.438932089,0.405705406,0.004163587,0.003718281,0.005697005,0.005780408,0.006131858,0.006289519,0.004801467,0.004735767,0.220669032
,0.289895434,0.23051303,0.420094034,0.41767874,0.487067103,0.540974554,0.372469166,0.392795886,0.572984213,0.576646611,0.006528748,0.006978203,0.007580636,0.008305924,0.00798344,0.008441988,0.006305001,0.006528751,0.220669032
,0.289422058,0.15226366,0.29771699,0.274002213,0.38008197,0.36987353,0.331527535,0.319325279,0.560570244,0.556189573,0.004528381,0.004084391,0.006139335,0.006228067,0.007738007,0.00815352,0.006129294,0.006293395,0.220669032
,0.160472185,0.32353416,0.238319579,0.256229047,0.370829711,0.383718891,0.328475654,0.34613581,0.460259731,0.508522193,0.006676043,0.006956468,0.007786873,0.008282864,0.0066693,0.007734183,0.00522122,0.005929082,0.220669032
,0.163767051,0.091430148,0.799797078,0.919669433,0.686764454,0.596820612,0.954282763,1.067429729,0.907058832,1.046614363,0.009686465,0.009707435,0.010083913,0.010465432,0.010723763,0.012454379,0.00828137,0.009573347,0.220669032
,0.313397594,0.264172871,0.550295657,0.539584681,0.511650571,0.532232622,0.518083139,0.506676546,0.775672087,0.733920204,0.006243627,0.005567704,0.007027899,0.006483013,0.008095045,0.0083749,0.007340194,0.007181991,0.220669032
,0.215209729,0.182941034,0.153390391,0.131119926,0.192466252,0.191111629,0.272832268,0.260103047,0.420285401,0.391556465,0.004775015,0.004470741,0.006348361,0.006253859,0.00624701,0.006208573,0.004608533,0.004381234,0.220669032
,0.306674961,0.250608215,0.298348638,0.274748336,0.308809645,0.27208362,0.362346371,0.368477205,0.483726183,0.480058297,0.00581497,0.005850182,0.007613367,0.0080045,0.00720686,0.007897191,0.004976515,0.005214219,0.220669032
