,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_0.986-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.375785738,0.562842322,0.7150716,0.617917972,0.646952776,0.712425618,0.768721851,0.710123894,0.838303645,0.842429156,0.03012292,0.02574702,0.025780355,0.027179608,0.014085392,0.016354939,0.009443581,0.009536308,1.024098675
,0.990850507,0.726228645,0.801928197,0.888968549,0.808311148,0.687047812,0.962373774,0.72041917,1.022837229,1.072684721,0.032084895,0.022508315,0.026438778,0.038189042,0.019632975,0.022923752,0.013040212,0.011549486,1.024098675
,0.924459973,0.691557968,1.607585078,1.672247867,1.487181681,1.637075877,1.17537058,1.303015745,1.806631652,1.903829594,0.01660732,0.019761914,0.020173851,0.029199515,0.037676842,0.042244678,0.031183697,0.029886641,1.024098675
,0.968935255,1.119028834,1.192104334,1.253683497,1.347954806,1.198286942,1.067133755,1.084294715,1.452340557,1.292317849,0.019482047,0.01672661,0.022907646,0.022585018,0.024075087,0.028300686,0.017050018,0.017852535,1.024098675
,0.736282664,0.714729682,1.041981048,1.245123749,1.288171115,1.161220665,0.942017158,0.720139449,1.314945268,1.478864266,0.021275848,0.021727732,0.017041023,0.018466512,0.017379814,0.017056125,0.013771553,0.013808838,1.024098675
,1.919409823,2.197435563,0.889722014,0.884054192,0.779650522,0.7590396,0.811952839,0.823554035,1.213540999,1.178751974,0.02698226,0.018379569,0.027208755,0.038661912,0.022465007,0.026129416,0.016583817,0.014840703,1.024098675
,0.706252478,0.591797735,1.316964853,1.251904503,1.348787183,1.293710389,1.147807642,0.897853411,1.557936844,1.424152241,0.019964648,0.018033781,0.017927041,0.020359733,0.017724005,0.020707572,0.016246377,0.014701759,1.024098675
,1.343173275,0.706637499,0.93348309,0.723146068,0.840680541,0.869308296,0.94654556,0.795774003,1.242535815,0.989408462,0.029880807,0.029610964,0.026354892,0.034708111,0.022195488,0.019559602,0.018330397,0.012029162,1.024098675
,0.998762702,0.849007535,0.691994812,0.792018778,0.750676848,0.779129442,0.848601484,0.808508532,1.003830552,1.050148778,0.024984645,0.021174081,0.022692371,0.029512179,0.018355732,0.0226736,0.013707472,0.011820201,1.024098675
