,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_0.803-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,1.04967763,0.753101689,1.462978593,0.761332277,1.537380061,0.792732156,0.925331999,0.765955493,1.586786352,1.019162483,0.022745166,0.023518836,0.016749892,0.026189755,0.013608435,0.015619598,0.012233895,0.007672961,1.239130923
,1.074640671,1.056600801,1.157963977,1.339600616,1.26957066,1.445299702,1.37218936,1.236258995,1.383025131,1.578206206,0.018715965,0.00973446,0.01815805,0.018229631,0.01496967,0.024512309,0.011287683,0.017472254,1.239130923
,1.445450185,1.054774136,1.774524668,1.137407531,1.21346728,1.043738538,1.504663866,0.991132051,2.06220519,1.269518131,0.018084343,0.026690579,0.020033155,0.025587305,0.013038101,0.011430404,0.010366103,0.007929822,1.239130923
,0.868973973,0.485645662,1.437959614,0.684787398,1.675534447,0.92139798,1.133740979,0.756244418,1.763411126,1.034836512,0.021774139,0.013648322,0.024666152,0.016729417,0.024937215,0.018254941,0.015958023,0.009215942,1.239130923
,1.002609057,0.880426453,1.655216738,1.370728339,1.9662571,1.354924935,1.304335692,1.041475511,1.769599887,1.430476425,0.033161039,0.013976953,0.025267616,0.020749762,0.02801044,0.02087816,0.019261293,0.012135595,1.239130923
,1.239586071,0.730368034,1.266568198,1.263525409,1.127090704,1.210835781,1.029661949,1.292909826,1.45671384,1.407024633,0.017224606,0.012778712,0.015447484,0.024689641,0.019722646,0.020805693,0.014760719,0.014290321,1.239130923
