days,minimum,maximum,mean,median,10th percentile,90th percentile
impedance,0.0,0.0,0.0,0.0,0.0,0.0
reoccupancy,130.0,558.0,294.0,289.0,229.0,369.0
functionality,130.0,558.0,295.0,290.0,230.0,369.0
repair completion,134.0,558.0,296.0,292.0,231.0,369.0
